ts,open,high,low,close,volume,amount
2026-06-12 09:30:00,10.98,10.98,10.88,10.91,0,0.0
2026-06-12 09:31:00,10.93,10.97,10.91,10.97,1829800,20072906.4886
2026-06-12 09:32:00,10.97,10.99,10.96,10.99,3394500,37305554.2231
2026-06-12 09:33:00,10.99,11.03,10.98,11.03,3735400,41201461.0025
2026-06-12 09:34:00,11.03,11.03,11.0,11.01,989000,10888890.2264
2026-06-12 09:35:00,11.0,11.01,11.0,11.0,994100,10935100.0
2026-06-12 09:36:00,11.01,11.03,10.99,11.02,2799600,30851593.2816
2026-06-12 09:37:00,11.01,11.05,11.01,11.03,3322700,36649380.1127
2026-06-12 09:38:00,11.02,11.05,11.02,11.04,1635400,18054815.9376
2026-06-12 09:39:00,11.03,11.04,11.02,11.03,1396100,15398982.6272
2026-06-12 09:40:00,11.03,11.04,11.02,11.03,1078100,11891442.7121
2026-06-12 09:41:00,11.04,11.04,11.02,11.02,807800,8901956.3698
2026-06-12 09:42:00,11.03,11.03,11.0,11.0,1189120,13080320.0
2026-06-12 09:43:00,11.0,11.03,11.0,11.03,2480700,27362120.3376
2026-06-12 09:44:00,11.03,11.03,11.01,11.02,1005900,11085018.4605
2026-06-12 09:45:00,11.02,11.03,11.01,11.02,475300,5237806.2176
2026-06-12 09:46:00,11.02,11.03,11.02,11.02,415300,4576606.1901
2026-06-12 09:47:00,11.01,11.05,11.01,11.04,3145000,34720799.88
2026-06-12 09:48:00,11.03,11.05,11.03,11.05,341700,3775785.0652
2026-06-12 09:49:00,11.05,11.05,11.04,11.04,918700,10142447.965
2026-06-12 09:50:00,11.04,11.05,11.04,11.04,1835900,20268335.93
2026-06-12 09:51:00,11.05,11.06,11.05,11.06,680800,7529648.2857
2026-06-12 09:52:00,11.06,11.08,11.06,11.07,3704020,41003500.2696
2026-06-12 09:53:00,11.07,11.08,11.07,11.08,1046400,11594111.9202
2026-06-12 09:54:00,11.07,11.08,11.07,11.07,767600,8497331.7657
2026-06-12 09:55:00,11.06,11.08,11.06,11.07,612500,6780374.8131
2026-06-12 09:56:00,11.07,11.07,11.06,11.07,511500,5662304.8439
2026-06-12 09:57:00,11.07,11.08,11.07,11.07,479660,5309836.0536
2026-06-12 09:58:00,11.07,11.08,11.07,11.08,768500,8514979.9414
2026-06-12 09:59:00,11.07,11.08,11.06,11.07,463140,5126959.6587
2026-06-12 10:00:00,11.06,11.08,11.06,11.07,727900,8057852.7779
2026-06-12 10:01:00,11.08,11.08,11.07,11.08,267500,2963899.9796
2026-06-12 10:02:00,11.08,11.08,11.06,11.07,515700,5708798.8426
2026-06-12 10:03:00,11.07,11.08,11.07,11.08,332400,3682991.9746
2026-06-12 10:04:00,11.07,11.08,11.07,11.07,392500,4344974.8802
2026-06-12 10:05:00,11.07,11.08,11.07,11.07,415200,4596263.8733
2026-06-12 10:06:00,11.07,11.08,11.06,11.07,756529,8374775.7991
2026-06-12 10:07:00,11.07,11.08,11.07,11.08,1662400,18419391.8732
2026-06-12 10:08:00,11.08,11.08,11.07,11.07,375400,4155677.8854
2026-06-12 10:09:00,11.07,11.08,11.07,11.07,260100,2879306.9206
2026-06-12 10:10:00,11.08,11.09,11.07,11.09,1107707,12284470.799
2026-06-12 10:11:00,11.09,11.09,11.07,11.07,1526700,16900568.5341
2026-06-12 10:12:00,11.08,11.09,11.08,11.08,526540,5834063.1598
2026-06-12 10:13:00,11.08,11.1,11.08,11.1,1624917,18036579.3199
2026-06-12 10:14:00,11.09,11.1,11.09,11.1,508800,5647680.1941
2026-06-12 10:15:00,11.1,11.12,11.09,11.12,3022917,33614836.6941
2026-06-12 10:16:00,11.12,11.13,11.11,11.13,1071700,11928021.1226
2026-06-12 10:17:00,11.13,11.14,11.13,11.13,1255300,13971489.1437
2026-06-12 10:18:00,11.14,11.15,11.13,11.15,1352400,15079259.4841
2026-06-12 10:19:00,11.14,11.14,11.12,11.13,1572100,17497473.1799
2026-06-12 10:20:00,11.13,11.13,11.12,11.13,2052900,22848777.2349
2026-06-12 10:21:00,11.12,11.15,11.12,11.14,2397600,26709264.8232
2026-06-12 10:22:00,11.14,11.15,11.14,11.14,544300,6063502.1869
2026-06-12 10:23:00,11.14,11.14,11.13,11.14,610100,6796514.2095
2026-06-12 10:24:00,11.14,11.14,11.13,11.14,1349400,15032316.4633
2026-06-12 10:25:00,11.14,11.15,11.14,11.14,1019900,11361686.3502
2026-06-12 10:26:00,11.14,11.15,11.13,11.14,680500,7580770.2336
2026-06-12 10:27:00,11.14,11.15,11.13,11.14,423600,4718904.1454
2026-06-12 10:28:00,11.14,11.16,11.13,11.16,3759500,41956019.4263
2026-06-12 10:29:00,11.16,11.16,11.15,11.16,2381270,26574972.8366
2026-06-12 10:30:00,11.16,11.18,11.16,11.17,3547900,39630043.2707
2026-06-12 10:31:00,11.17,11.17,11.16,11.17,993900,11101863.0758
2026-06-12 10:32:00,11.17,11.18,11.15,11.16,909100,10145555.8613
2026-06-12 10:33:00,11.16,11.16,11.15,11.15,872000,9722799.6674
2026-06-12 10:34:00,11.16,11.16,11.15,11.15,414400,4620559.8419
2026-06-12 10:35:00,11.15,11.16,11.15,11.15,598900,6677734.7715
2026-06-12 10:36:00,11.15,11.15,11.14,11.15,1016700,11336204.6122
2026-06-12 10:37:00,11.15,11.17,11.14,11.17,1697100,18956607.1295
2026-06-12 10:38:00,11.18,11.18,11.17,11.17,417800,4666826.0319
2026-06-12 10:39:00,11.17,11.19,11.17,11.18,1517800,16969004.4632
2026-06-12 10:40:00,11.19,11.19,11.18,11.19,1061172,11874514.2347
2026-06-12 10:41:00,11.18,11.19,11.18,11.18,393900,4403802.1202
2026-06-12 10:42:00,11.19,11.19,11.18,11.19,487400,5454005.7955
2026-06-12 10:43:00,11.19,11.19,11.17,11.18,1014928,11346895.3497
2026-06-12 10:44:00,11.17,11.18,11.15,11.15,339800,3788769.8704
2026-06-12 10:45:00,11.16,11.17,11.16,11.17,274200,3062814.0209
2026-06-12 10:46:00,11.16,11.16,11.13,11.14,1414900,15761986.4858
2026-06-12 10:47:00,11.14,11.14,11.13,11.13,682700,7598451.0781
2026-06-12 10:48:00,11.13,11.14,11.12,11.14,423400,4716676.1454
2026-06-12 10:49:00,11.14,11.14,11.13,11.14,162300,1808022.0557
2026-06-12 10:50:00,11.14,11.15,11.13,11.14,411700,4586338.1413
2026-06-12 10:51:00,11.14,11.15,11.13,11.13,327200,3641736.0374
2026-06-12 10:52:00,11.13,11.14,11.12,11.12,271900,3023527.9689
2026-06-12 10:53:00,11.12,11.14,11.12,11.13,243300,2707929.0278
2026-06-12 10:54:00,11.13,11.15,11.13,11.15,311700,3475454.8811
2026-06-12 10:55:00,11.14,11.15,11.13,11.14,505800,5634612.1737
2026-06-12 10:56:00,11.13,11.14,11.13,11.13,127800,1422414.0146
2026-06-12 10:57:00,11.14,11.15,11.13,11.14,535600,5966584.1839
2026-06-12 10:58:00,11.14,11.14,11.12,11.13,349600,3891048.04
2026-06-12 10:59:00,11.13,11.13,11.12,11.12,270300,3005735.9691
2026-06-12 11:00:00,11.13,11.13,11.12,11.12,213900,2378567.9755
2026-06-12 11:01:00,11.13,11.13,11.12,11.12,414400,4608127.9526
2026-06-12 11:02:00,11.12,11.14,11.12,11.14,1380100,15374314.4738
2026-06-12 11:03:00,11.14,11.15,11.14,11.14,229300,2554402.0787
2026-06-12 11:04:00,11.15,11.15,11.14,11.15,557242,6213248.0874
2026-06-12 11:05:00,11.16,11.16,11.15,11.15,375729,4189378.2067
2026-06-12 11:06:00,11.15,11.16,11.14,11.15,265629,2961763.2487
2026-06-12 11:07:00,11.15,11.16,11.15,11.15,254200,2834329.903
2026-06-12 11:08:00,11.15,11.17,11.15,11.16,561500,6266339.9143
2026-06-12 11:09:00,11.16,11.17,11.15,11.15,347100,3870164.8676
2026-06-12 11:10:00,11.15,11.16,11.15,11.15,154120,1718437.9412
2026-06-12 11:11:00,11.16,11.16,11.15,11.15,252300,2813144.9038
2026-06-12 11:12:00,11.15,11.16,11.15,11.15,218900,2440734.9165
2026-06-12 11:13:00,11.16,11.16,11.15,11.15,261800,2919069.9001
2026-06-12 11:14:00,11.16,11.16,11.15,11.16,219500,2449619.9665
2026-06-12 11:15:00,11.15,11.16,11.15,11.15,244100,2721714.9069
2026-06-12 11:16:00,11.16,11.16,11.14,11.14,380700,4240998.1307
2026-06-12 11:17:00,11.14,11.14,11.13,11.14,344500,3837730.1183
2026-06-12 11:18:00,11.14,11.15,11.14,11.14,123700,1378018.0425
2026-06-12 11:19:00,11.14,11.15,11.13,11.14,327800,3651692.1125
2026-06-12 11:20:00,11.15,11.16,11.14,11.14,608100,6774234.2088
2026-06-12 11:21:00,11.14,11.15,11.14,11.14,125300,1395842.043
2026-06-12 11:22:00,11.15,11.15,11.14,11.15,91800,1023569.965
2026-06-12 11:23:00,11.15,11.15,11.14,11.14,152300,1696622.0523
2026-06-12 11:24:00,11.14,11.16,11.14,11.16,600100,6697115.9084
2026-06-12 11:25:00,11.16,11.17,11.16,11.16,907500,10127699.8615
2026-06-12 11:26:00,11.16,11.17,11.15,11.16,445500,4971779.932
2026-06-12 11:27:00,11.16,11.17,11.16,11.16,291900,3257603.9555
2026-06-12 11:28:00,11.17,11.17,11.16,11.17,167900,1875443.0128
2026-06-12 11:29:00,11.17,11.17,11.16,11.17,619920,6924506.4473
2026-06-12 11:30:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:31:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:32:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:33:00,11.16,11.16,11.16,11.16,120730960,1347357495.1779
2026-06-12 11:34:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:35:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:36:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:37:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:38:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:39:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:40:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:41:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:42:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:43:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:44:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:45:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:46:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:47:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:48:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:49:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:50:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:51:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:52:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:53:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:54:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:55:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:56:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:57:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:58:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 11:59:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:00:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:01:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:02:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:03:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:04:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:05:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:06:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:07:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:08:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:09:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:10:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:11:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:12:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:13:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:14:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:15:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:16:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:17:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:18:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:19:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:20:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:21:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:22:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:23:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:24:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:25:00,11.16,11.16,11.16,11.16,0,0.0
2026-06-12 12:26:00,11.16,11.16,11.16,11.16,0,0.0
