ts,open,high,low,close,volume,amount
2026-06-18 09:30:00,54.5,54.5,54.5,54.5,50600,2756610.0
2026-06-18 09:31:00,55.0,55.0,54.47,54.5,219300,11957102.0
2026-06-18 09:32:00,54.47,54.47,53.9,53.95,407700,22086267.0
2026-06-18 09:33:00,53.88,53.93,53.79,53.79,275200,14825763.0
2026-06-18 09:34:00,53.8,54.0,53.68,53.98,183400,9876914.0
2026-06-18 09:35:00,53.99,53.99,53.6,53.61,187000,10057033.0
2026-06-18 09:36:00,53.58,53.8,53.58,53.69,213000,11431481.0
2026-06-18 09:37:00,53.66,53.66,53.6,53.63,140800,7552453.0
2026-06-18 09:38:00,53.64,53.64,53.41,53.41,285100,15261262.0
2026-06-18 09:39:00,53.41,53.42,53.18,53.25,202200,10789454.0
2026-06-18 09:40:00,53.1,53.34,53.03,53.26,631000,33546163.0
2026-06-18 09:41:00,53.24,53.27,53.08,53.08,323900,17241911.0
2026-06-18 09:42:00,53.09,53.09,52.77,52.79,432800,22927459.0
2026-06-18 09:43:00,52.8,52.91,52.7,52.91,533100,28133674.0
2026-06-18 09:44:00,52.91,53.46,52.91,53.43,117300,6245901.0
2026-06-18 09:45:00,53.48,53.49,53.31,53.31,129800,6937008.0
2026-06-18 09:46:00,53.3,53.3,53.19,53.2,107800,5736508.0
2026-06-18 09:47:00,53.17,53.18,53.11,53.13,59700,3172631.0
2026-06-18 09:48:00,53.16,53.2,53.14,53.18,86300,4587413.0
2026-06-18 09:49:00,53.2,53.29,53.16,53.27,108700,5787101.0
2026-06-18 09:50:00,53.27,53.27,53.16,53.16,92400,4917581.0
2026-06-18 09:51:00,53.16,53.18,53.11,53.11,84700,4502057.0
2026-06-18 09:52:00,53.11,53.17,53.05,53.13,165200,8773520.0
2026-06-18 09:53:00,53.18,53.22,53.07,53.14,180300,9580404.0
2026-06-18 09:54:00,53.19,53.19,53.0,53.02,165100,8756387.0
2026-06-18 09:55:00,53.02,53.02,52.94,52.94,183600,9730996.0
2026-06-18 09:56:00,52.95,52.96,52.94,52.95,108600,5751516.0
2026-06-18 09:57:00,52.96,53.14,52.96,53.14,151600,8038664.0
2026-06-18 09:58:00,53.14,53.21,53.1,53.21,121400,6453546.0
2026-06-18 09:59:00,53.21,53.26,53.18,53.26,41200,2194610.0
2026-06-18 10:00:00,53.26,53.27,53.16,53.16,98100,5218467.0
2026-06-18 10:01:00,53.14,53.21,53.14,53.19,44400,2361511.0
2026-06-18 10:02:00,53.19,53.21,53.16,53.17,35600,1891915.0
2026-06-18 10:03:00,53.16,53.24,53.16,53.23,88000,4682585.0
2026-06-18 10:04:00,53.21,53.31,53.21,53.3,80200,4270086.0
2026-06-18 10:05:00,53.29,53.35,53.29,53.3,133600,7120346.0
